coursecode;course;name2;function;phone1;phone2;birthdate;secretimages
L11;Basketbal;Erik van der Wal;Leiding;0634678901;;1976-11-18;1
L11;Basketbal;Fiona de Wit;Hulpleiding;0645789012;;1985-02-07;0
L11;Basketbal;Gijs van der Berg;;0656890123;0634678901;2018-01-16;0
L11;Basketbal;Hannah Kowalski;;0667901234;;2015-09-23;1
L11;Basketbal;Ivan de Vries;;0678012345;0656890123;2013-06-10;0
L11;Basketbal;Julia van Dijk;;0689123456;;2011-11-27;0
L12;Voetbal;Klaas van der Meer;Leiding;0690234567;;1974-05-03;1
L12;Voetbal;Linda de Jong;Hulpleiding;0611345678;;1988-12-20;0
L12;Voetbal;Mike van der Berg;;0622456789;0690234567;2019-03-14;0
L12;Voetbal;Nina de Vries;;0633567890;;2016-10-01;1
L12;Voetbal;Oscar Bakker;;0644678901;0622456789;2014-07-18;0
L12;Voetbal;Patricia van Dijk;;0655789012;;2012-02-25;0
L13;Volleybal;Quinn van der Wal;Leiding;0666890123;;1973-08-11;1
L13;Volleybal;Rita de Wit;Hulpleiding;0677901234;;1987-01-28;0
L13;Volleybal;Simon van der Berg;;0688012345;0666890123;2020-05-06;0
L13;Volleybal;Tom de Vries;;0699123456;;2017-12-13;1
L13;Volleybal;Uma Bakker;;0610234567;0688012345;2015-09-30;0
L13;Volleybal;Vincent van Dijk;;0621345678;;2013-04-17;0
L14;Badminton;Wendy van der Meer;Leiding;0632456789;;1972-10-24;1
L14;Badminton;Xander de Jong;Hulpleiding;0643567890;;1989-07-11;0
L14;Badminton;Yara van der Berg;;0654678901;0632456789;2021-01-28;0
L14;Badminton;Zach de Vries;;0665789012;;2018-08-15;1
L14;Badminton;Anna Bakker;;0676890123;0654678901;2016-03-02;0
L14;Badminton;Ben van Dijk;;0687901234;;2014-10-19;0
L15;Tafeltennis;Carlos van der Wal;Leiding;0698012345;;1971-03-17;1
L15;Tafeltennis;Diana de Wit;Hulpleiding;0619123456;;1990-11-04;0
L15;Tafeltennis;Erik van der Berg;;0620234567;0698012345;2022-07-21;0
L15;Tafeltennis;Fiona de Vries;;0631345678;;2019-04-08;1
L15;Tafeltennis;George Bakker;;0642456789;0620234567;2017-01-25;0
L15;Tafeltennis;Helena van Dijk;;0653567890;;2015-08-12;0
